year,month,stateid,price,price-units
2023,11,MTN,13.85,cents per kilowatt-hour
2023,11,MTN,12.57,cents per kilowatt-hour
2023,11,PACC,21.57,cents per kilowatt-hour
2023,11,PACC,13.17,cents per kilowatt-hour
2023,11,PACN,35.06,cents per kilowatt-hour
2023,11,PACN,0.0,cents per kilowatt-hour
2023,11,US,16.19,cents per kilowatt-hour
2023,11,US,12.6,cents per kilowatt-hour
2023,05,AZ,14.3,cents per kilowatt-hour
2023,05,AZ,10.45,cents per kilowatt-hour
2023,05,AR,12.32,cents per kilowatt-hour
2023,05,AR,15.12,cents per kilowatt-hour
2023,05,CA,29.82,cents per kilowatt-hour
2023,05,CA,13.12,cents per kilowatt-hour
2023,05,CO,14.34,cents per kilowatt-hour
2023,05,CO,11.3,cents per kilowatt-hour
2023,06,ME,27.56,cents per kilowatt-hour
2023,06,ME,0.0,cents per kilowatt-hour
2023,06,MD,17.0,cents per kilowatt-hour
2023,06,MD,11.16,cents per kilowatt-hour
2023,06,MA,27.52,cents per kilowatt-hour
2023,06,MA,7.28,cents per kilowatt-hour
2023,06,MI,19.38,cents per kilowatt-hour
2023,06,MI,13.85,cents per kilowatt-hour
2023,06,MN,15.68,cents per kilowatt-hour
2023,06,MN,13.9,cents per kilowatt-hour
2023,05,CT,31.36,cents per kilowatt-hour
2023,05,CT,16.12,cents per kilowatt-hour
2023,05,DE,16.62,cents per kilowatt-hour
2023,05,DE,0.0,cents per kilowatt-hour
2023,05,DC,17.09,cents per kilowatt-hour
2023,05,DC,10.39,cents per kilowatt-hour
2023,05,FL,15.09,cents per kilowatt-hour
2023,05,FL,11.49,cents per kilowatt-hour
2023,06,MS,13.27,cents per kilowatt-hour
2023,06,MS,0.0,cents per kilowatt-hour
2023,06,MO,14.1,cents per kilowatt-hour
2023,06,MO,9.7,cents per kilowatt-hour
2023,06,MT,13.16,cents per kilowatt-hour
2023,06,MT,0.0,cents per kilowatt-hour
2023,10,MTN,13.86,cents per kilowatt-hour
2023,10,MTN,12.92,cents per kilowatt-hour
2024,01,IN,14.0,cents per kilowatt-hour
2024,01,IN,11.86,cents per kilowatt-hour
2024,01,IA,11.85,cents per kilowatt-hour
2024,01,IA,0.0,cents per kilowatt-hour
2024,01,KS,13.04,cents per kilowatt-hour
2024,01,KS,0.0,cents per kilowatt-hour
2024,01,KY,12.51,cents per kilowatt-hour
2024,01,KY,0.0,cents per kilowatt-hour
2024,01,LA,10.82,cents per kilowatt-hour
2023,10,PACC,23.84,cents per kilowatt-hour
2023,10,PACC,14.42,cents per kilowatt-hour
2023,10,PACN,35.18,cents per kilowatt-hour
2023,10,PACN,0.0,cents per kilowatt-hour
2023,12,MD,11.7,cents per kilowatt-hour
2023,12,MA,28.94,cents per kilowatt-hour
2023,12,MA,6.94,cents per kilowatt-hour
2023,12,MI,18.7,cents per kilowatt-hour
2023,12,MI,13.68,cents per kilowatt-hour
2023,12,MN,14.09,cents per kilowatt-hour
2023,12,MN,10.52,cents per kilowatt-hour
2023,12,MS,13.06,cents per kilowatt-hour
2023,12,MS,0.0,cents per kilowatt-hour
2023,12,MO,11.33,cents per kilowatt-hour
2023,12,MO,8.63,cents per kilowatt-hour
2023,11,NH,25.58,cents per kilowatt-hour
2023,11,NH,0.0,cents per kilowatt-hour
2023,11,NJ,17.47,cents per kilowatt-hour
2023,11,NJ,11.59,cents per kilowatt-hour
2024,01,LA,10.48,cents per kilowatt-hour
2023,08,SD,13.07,cents per kilowatt-hour
2023,08,SD,0.0,cents per kilowatt-hour
2023,08,TN,11.93,cents per kilowatt-hour
2023,08,TN,0.0,cents per kilowatt-hour
2023,08,TX,14.17,cents per kilowatt-hour
2023,08,TX,6.75,cents per kilowatt-hour
2023,08,UT,11.67,cents per kilowatt-hour
2023,08,UT,12.32,cents per kilowatt-hour
2023,08,VT,20.47,cents per kilowatt-hour
2023,08,VT,0.0,cents per kilowatt-hour
2023,08,VA,13.85,cents per kilowatt-hour
2023,08,VA,10.36,cents per kilowatt-hour
2023,08,WA,11.14,cents per kilowatt-hour
2023,08,WA,10.19,cents per kilowatt-hour
2023,08,WV,14.2,cents per kilowatt-hour
2023,08,WV,0.0,cents per kilowatt-hour
2023,08,WI,17.19,cents per kilowatt-hour
2023,08,WI,18.57,cents per kilowatt-hour
2023,08,WY,12.45,cents per kilowatt-hour
2023,08,WY,0.0,cents per kilowatt-hour
2023,02,WSC,13.89,cents per kilowatt-hour
2023,02,WSC,7.35,cents per kilowatt-hour
2023,02,MTN,13.0,cents per kilowatt-hour
2023,02,MTN,12.94,cents per kilowatt-hour
2023,02,PACC,19.38,cents per kilowatt-hour
2023,02,PACC,11.8,cents per kilowatt-hour
2023,02,PACN,34.05,cents per kilowatt-hour
2023,02,PACN,0.0,cents per kilowatt-hour
2023,02,US,15.98,cents per kilowatt-hour
2023,02,US,13.14,cents per kilowatt-hour
2023,04,AL,14.54,cents per kilowatt-hour
2023,04,AL,0.0,cents per kilowatt-hour
2023,04,AK,23.44,cents per kilowatt-hour
2023,04,AK,0.0,cents per kilowatt-hour
2023,04,AZ,14.12,cents per kilowatt-hour
2023,04,AZ,9.28,cents per kilowatt-hour
2023,08,ME,25.37,cents per kilowatt-hour
2023,08,ME,0.0,cents per kilowatt-hour
2023,08,MD,16.39,cents per kilowatt-hour
2023,08,MD,11.17,cents per kilowatt-hour
2023,08,MA,28.02,cents per kilowatt-hour
2023,08,MA,6.75,cents per kilowatt-hour
2023,08,MI,19.57,cents per kilowatt-hour
2023,01,ND,9.95,cents per kilowatt-hour
2023,01,ND,0.0,cents per kilowatt-hour
2023,01,OH,14.3,cents per kilowatt-hour
2023,01,OH,5.51,cents per kilowatt-hour
2023,04,RI,23.54,cents per kilowatt-hour
2023,04,RI,16.69,cents per kilowatt-hour
2023,04,SC,13.9,cents per kilowatt-hour
2023,04,SC,0.0,cents per kilowatt-hour
2023,04,SD,11.92,cents per kilowatt-hour
2023,04,SD,0.0,cents per kilowatt-hour
2023,04,TN,11.86,cents per kilowatt-hour
2023,04,TN,0.0,cents per kilowatt-hour
2023,04,TX,14.36,cents per kilowatt-hour
2023,04,TX,7.14,cents per kilowatt-hour
2023,04,UT,10.84,cents per kilowatt-hour
2023,04,UT,12.2,cents per kilowatt-hour
2023,04,VT,20.75,cents per kilowatt-hour
2023,10,OK,13.04,cents per kilowatt-hour
2023,10,OK,0.0,cents per kilowatt-hour
2023,10,OR,13.29,cents per kilowatt-hour
2023,10,OR,11.66,cents per kilowatt-hour
2023,10,PA,18.44,cents per kilowatt-hour
2023,10,PA,10.83,cents per kilowatt-hour
2023,10,RI,30.08,cents per kilowatt-hour
2023,10,RI,17.42,cents per kilowatt-hour
2023,10,SC,14.0,cents per kilowatt-hour
2023,10,SC,0.0,cents per kilowatt-hour
2023,10,SD,13.05,cents per kilowatt-hour
2023,10,SD,0.0,cents per kilowatt-hour
2023,03,PACC,21.13,cents per kilowatt-hour
2023,03,PACC,11.63,cents per kilowatt-hour
2023,03,PACN,34.25,cents per kilowatt-hour
2023,03,PACN,0.0,cents per kilowatt-hour
2023,03,US,16.04,cents per kilowatt-hour
2023,03,US,12.28,cents per kilowatt-hour
2023,12,AL,14.16,cents per kilowatt-hour
2023,12,AL,0.0,cents per kilowatt-hour
2023,12,AK,24.22,cents per kilowatt-hour
2023,12,AK,0.0,cents per kilowatt-hour
2023,05,GA,13.96,cents per kilowatt-hour
2023,05,GA,5.94,cents per kilowatt-hour
2023,05,HI,42.26,cents per kilowatt-hour
2023,05,HI,0.0,cents per kilowatt-hour
2023,10,TN,12.49,cents per kilowatt-hour
2023,10,TN,0.0,cents per kilowatt-hour
2023,10,TX,14.89,cents per kilowatt-hour
2023,10,TX,7.17,cents per kilowatt-hour
2023,10,UT,11.23,cents per kilowatt-hour
2023,10,UT,12.32,cents per kilowatt-hour
2023,10,VT,22.11,cents per kilowatt-hour
2023,10,VT,0.0,cents per kilowatt-hour
2023,10,VA,14.16,cents per kilowatt-hour
2023,05,ID,10.72,cents per kilowatt-hour
2023,05,ID,0.0,cents per kilowatt-hour
2023,05,IL,17.86,cents per kilowatt-hour
2023,05,IL,7.25,cents per kilowatt-hour
2023,05,IN,15.12,cents per kilowatt-hour
2023,05,IN,0.0,cents per kilowatt-hour
2023,05,IA,14.29,cents per kilowatt-hour
2023,05,IA,0.0,cents per kilowatt-hour
2023,05,KS,13.86,cents per kilowatt-hour
2023,05,KS,0.0,cents per kilowatt-hour
2023,05,KY,12.69,cents per kilowatt-hour
2023,05,KY,0.0,cents per kilowatt-hour
2023,05,LA,11.72,cents per kilowatt-hour
2023,05,LA,11.47,cents per kilowatt-hour
2023,05,ME,29.19,cents per kilowatt-hour
2023,05,ME,0.0,cents per kilowatt-hour
2023,05,MD,16.08,cents per kilowatt-hour
2023,05,MD,11.33,cents per kilowatt-hour
2023,05,MA,29.39,cents per kilowatt-hour
2023,05,MA,7.51,cents per kilowatt-hour
2023,05,MI,18.7,cents per kilowatt-hour
2023,05,MI,14.07,cents per kilowatt-hour
2023,08,MI,14.12,cents per kilowatt-hour
2023,08,MN,15.61,cents per kilowatt-hour
2023,06,AL,14.67,cents per kilowatt-hour
2023,06,AL,0.0,cents per kilowatt-hour
2023,06,AK,24.79,cents per kilowatt-hour
2023,06,AK,0.0,cents per kilowatt-hour
2023,06,AZ,14.28,cents per kilowatt-hour
2023,06,AZ,11.46,cents per kilowatt-hour
2023,06,AR,12.46,cents per kilowatt-hour
2023,06,AR,16.8,cents per kilowatt-hour
2023,06,CA,31.24,cents per kilowatt-hour
2023,06,CA,11.85,cents per kilowatt-hour
2023,06,CO,14.63,cents per kilowatt-hour
2023,06,CO,14.98,cents per kilowatt-hour
2023,06,CT,31.85,cents per kilowatt-hour
2023,06,CT,16.63,cents per kilowatt-hour
2023,08,MN,13.4,cents per kilowatt-hour
2023,08,MS,12.7,cents per kilowatt-hour
2023,08,MS,0.0,cents per kilowatt-hour
2023,08,MO,14.25,cents per kilowatt-hour
2023,08,MO,12.18,cents per kilowatt-hour
2023,08,MT,12.93,cents per kilowatt-hour
2023,08,MT,0.0,cents per kilowatt-hour
2023,08,NE,12.19,cents per kilowatt-hour
2023,08,NE,0.0,cents per kilowatt-hour
2023,08,NV,16.48,cents per kilowatt-hour
2023,08,NV,12.87,cents per kilowatt-hour
2023,08,NH,26.13,cents per kilowatt-hour
2023,08,NH,0.0,cents per kilowatt-hour
2023,08,NJ,18.51,cents per kilowatt-hour
2023,08,NJ,12.18,cents per kilowatt-hour
2023,08,NM,14.41,cents per kilowatt-hour
2023,08,NM,0.0,cents per kilowatt-hour
2023,08,NY,22.26,cents per kilowatt-hour
2023,08,NY,16.34,cents per kilowatt-hour
2023,08,NC,12.7,cents per kilowatt-hour
2023,08,NC,9.43,cents per kilowatt-hour
2023,06,DE,15.99,cents per kilowatt-hour
2023,06,DE,0.0,cents per kilowatt-hour
2023,06,DC,16.55,cents per kilowatt-hour
2023,06,DC,9.04,cents per kilowatt-hour
2023,06,FL,15.23,cents per kilowatt-hour
2023,06,FL,11.27,cents per kilowatt-hour
2023,06,GA,14.59,cents per kilowatt-hour
2023,06,GA,7.57,cents per kilowatt-hour
2023,06,HI,41.74,cents per kilowatt-hour
2023,06,HI,0.0,cents per kilowatt-hour
2023,06,ID,11.71,cents per kilowatt-hour
2023,06,ID,0.0,cents per kilowatt-hour
2023,06,IL,15.08,cents per kilowatt-hour
2023,06,IL,7.14,cents per kilowatt-hour
2023,06,IN,14.67,cents per kilowatt-hour
2023,06,IN,11.56,cents per kilowatt-hour
2023,06,IA,15.11,cents per kilowatt-hour
2023,06,IA,0.0,cents per kilowatt-hour
2023,06,KS,13.33,cents per kilowatt-hour
2023,06,KS,0.0,cents per kilowatt-hour
2023,06,KY,12.65,cents per kilowatt-hour
2023,06,KY,0.0,cents per kilowatt-hour
2023,08,ND,12.55,cents per kilowatt-hour
2023,08,ND,0.0,cents per kilowatt-hour
2023,08,OH,15.63,cents per kilowatt-hour
2023,08,OH,6.34,cents per kilowatt-hour
2023,08,OK,13.1,cents per kilowatt-hour
2023,08,OK,0.0,cents per kilowatt-hour
2023,08,OR,13.02,cents per kilowatt-hour
2023,08,OR,11.4,cents per kilowatt-hour
2023,08,PA,17.89,cents per kilowatt-hour
2023,08,PA,11.02,cents per kilowatt-hour
2023,08,RI,25.54,cents per kilowatt-hour
2023,08,RI,16.75,cents per kilowatt-hour
2023,08,SC,13.41,cents per kilowatt-hour
2023,08,SC,0.0,cents per kilowatt-hour
2023,10,VA,9.98,cents per kilowatt-hour
2023,10,WA,11.33,cents per kilowatt-hour
2023,10,WA,10.12,cents per kilowatt-hour
2023,10,WV,15.05,cents per kilowatt-hour
2023,10,WV,0.0,cents per kilowatt-hour
2023,10,WI,17.14,cents per kilowatt-hour
2023,10,WI,21.34,cents per kilowatt-hour
2023,06,LA,11.25,cents per kilowatt-hour
2023,06,LA,11.28,cents per kilowatt-hour
2023,12,AZ,14.42,cents per kilowatt-hour
2023,12,AZ,9.63,cents per kilowatt-hour
2023,12,AR,11.54,cents per kilowatt-hour
2023,12,AR,15.18,cents per kilowatt-hour
2023,12,CA,29.12,cents per kilowatt-hour
2023,12,CA,13.09,cents per kilowatt-hour
2023,12,CO,14.18,cents per kilowatt-hour
2023,12,CO,12.39,cents per kilowatt-hour
2023,12,CT,26.89,cents per kilowatt-hour
2023,12,CT,19.57,cents per kilowatt-hour
2023,12,DE,16.3,cents per kilowatt-hour
2023,12,DE,0.0,cents per kilowatt-hour
2023,12,DC,17.82,cents per kilowatt-hour
2023,12,DC,10.57,cents per kilowatt-hour
2023,12,FL,15.2,cents per kilowatt-hour
2023,12,FL,11.31,cents per kilowatt-hour
2023,12,GA,12.72,cents per kilowatt-hour
2023,12,GA,6.2,cents per kilowatt-hour
2023,12,HI,41.6,cents per kilowatt-hour
2023,03,TX,7.28,cents per kilowatt-hour
2023,03,UT,10.86,cents per kilowatt-hour
2023,03,UT,12.21,cents per kilowatt-hour
2023,03,VT,20.38,cents per kilowatt-hour
2023,03,VT,0.0,cents per kilowatt-hour
2023,03,VA,14.67,cents per kilowatt-hour
2023,03,VA,11.06,cents per kilowatt-hour
2023,03,WA,10.79,cents per kilowatt-hour
2023,03,WA,10.65,cents per kilowatt-hour
2023,03,WV,14.23,cents per kilowatt-hour
2023,03,WV,0.0,cents per kilowatt-hour
2023,03,WI,16.47,cents per kilowatt-hour
2023,03,WI,16.2,cents per kilowatt-hour
2023,03,WY,10.68,cents per kilowatt-hour
2023,03,WY,0.0,cents per kilowatt-hour
2023,03,NEW,31.25,cents per kilowatt-hour
2023,03,NEW,14.92,cents per kilowatt-hour
2023,03,MAT,19.09,cents per kilowatt-hour
2023,03,MAT,13.57,cents per kilowatt-hour
2023,03,ENC,16.45,cents per kilowatt-hour
2023,03,ENC,7.33,cents per kilowatt-hour
2023,10,NE,11.67,cents per kilowatt-hour
2023,10,NE,0.0,cents per kilowatt-hour
2023,10,NV,14.63,cents per kilowatt-hour
2023,10,NV,12.48,cents per kilowatt-hour
2023,10,NH,25.49,cents per kilowatt-hour
2023,10,NH,0.0,cents per kilowatt-hour
2023,10,NJ,17.46,cents per kilowatt-hour
2023,10,NJ,11.2,cents per kilowatt-hour
2023,10,NM,14.12,cents per kilowatt-hour
2023,10,NM,0.0,cents per kilowatt-hour
2023,10,NY,21.99,cents per kilowatt-hour
2023,10,NY,15.26,cents per kilowatt-hour
2023,10,NC,14.4,cents per kilowatt-hour
2023,10,NC,10.14,cents per kilowatt-hour
2023,10,ND,11.71,cents per kilowatt-hour
2023,10,ND,0.0,cents per kilowatt-hour
2023,05,AL,14.55,cents per kilowatt-hour
2023,05,AL,0.0,cents per kilowatt-hour
2023,05,AK,24.91,cents per kilowatt-hour
2023,05,AK,0.0,cents per kilowatt-hour
2023,02,DC,15.7,cents per kilowatt-hour
2023,02,DC,10.47,cents per kilowatt-hour
2023,02,FL,15.82,cents per kilowatt-hour
2023,02,FL,10.35,cents per kilowatt-hour
2023,02,GA,13.53,cents per kilowatt-hour
2023,05,SC,13.98,cents per kilowatt-hour
2023,05,SC,0.0,cents per kilowatt-hour
2023,05,SD,13.18,cents per kilowatt-hour
2023,05,SD,0.0,cents per kilowatt-hour
2023,03,WNC,12.12,cents per kilowatt-hour
2023,03,WNC,10.31,cents per kilowatt-hour
2023,03,SAT,14.2,cents per kilowatt-hour
2023,03,SAT,10.11,cents per kilowatt-hour
2023,03,ESC,13.17,cents per kilowatt-hour
2023,03,ESC,0.0,cents per kilowatt-hour
2023,03,WSC,13.75,cents per kilowatt-hour
2023,03,WSC,7.51,cents per kilowatt-hour
2023,07,MD,16.02,cents per kilowatt-hour
2023,07,MD,11.1,cents per kilowatt-hour
2023,07,MA,27.43,cents per kilowatt-hour
2023,07,MA,6.62,cents per kilowatt-hour
2023,07,MI,19.43,cents per kilowatt-hour
2023,07,MI,14.05,cents per kilowatt-hour
2023,07,MN,15.6,cents per kilowatt-hour
2023,07,MN,13.49,cents per kilowatt-hour
2023,07,MS,12.82,cents per kilowatt-hour
2023,07,MS,0.0,cents per kilowatt-hour
2023,10,OH,15.89,cents per kilowatt-hour
2023,10,OH,6.72,cents per kilowatt-hour
2023,11,WV,14.42,cents per kilowatt-hour
2023,11,WV,0.0,cents per kilowatt-hour
2023,11,WI,16.85,cents per kilowatt-hour
2023,11,WI,15.74,cents per kilowatt-hour
2023,11,WY,11.59,cents per kilowatt-hour
2023,11,WY,0.0,cents per kilowatt-hour
2023,11,NEW,27.47,cents per kilowatt-hour
2023,11,NEW,10.68,cents per kilowatt-hour
2023,11,MAT,19.76,cents per kilowatt-hour
2023,02,GA,5.92,cents per kilowatt-hour
2023,02,HI,44.24,cents per kilowatt-hour
2023,02,HI,0.0,cents per kilowatt-hour
2023,02,ID,10.19,cents per kilowatt-hour
2023,02,ID,0.0,cents per kilowatt-hour
2023,08,WNC,14.21,cents per kilowatt-hour
2023,08,WNC,12.64,cents per kilowatt-hour
2023,08,SAT,14.28,cents per kilowatt-hour
2023,08,SAT,10.53,cents per kilowatt-hour
2023,08,ESC,12.79,cents per kilowatt-hour
2023,08,ESC,0.0,cents per kilowatt-hour
2023,08,WSC,13.56,cents per kilowatt-hour
2023,08,WSC,7.01,cents per kilowatt-hour
2023,08,MTN,13.92,cents per kilowatt-hour
2023,08,MTN,13.11,cents per kilowatt-hour
2023,08,PACC,24.22,cents per kilowatt-hour
2023,08,PACC,13.51,cents per kilowatt-hour
2023,08,PACN,34.22,cents per kilowatt-hour
2023,08,PACN,0.0,cents per kilowatt-hour
2023,08,US,15.91,cents per kilowatt-hour
2023,10,AR,12.73,cents per kilowatt-hour
2023,10,AR,13.2,cents per kilowatt-hour
2023,10,CA,31.78,cents per kilowatt-hour
2023,10,CA,14.92,cents per kilowatt-hour
2023,09,RI,17.44,cents per kilowatt-hour
2023,09,SC,14.04,cents per kilowatt-hour
2023,09,SC,0.0,cents per kilowatt-hour
2023,09,SD,13.24,cents per kilowatt-hour
2023,09,SD,0.0,cents per kilowatt-hour
2023,09,TN,11.78,cents per kilowatt-hour
2023,09,TN,0.0,cents per kilowatt-hour
2023,09,TX,14.68,cents per kilowatt-hour
2023,09,TX,7.49,cents per kilowatt-hour
2023,09,UT,11.85,cents per kilowatt-hour
2023,09,UT,12.33,cents per kilowatt-hour
2023,09,VT,21.21,cents per kilowatt-hour
2023,09,VT,0.0,cents per kilowatt-hour
2023,09,VA,14.69,cents per kilowatt-hour
2023,09,VA,9.02,cents per kilowatt-hour
2023,09,WA,11.38,cents per kilowatt-hour
2023,01,TN,12.04,cents per kilowatt-hour
2023,01,TN,0.0,cents per kilowatt-hour
2023,01,TX,14.36,cents per kilowatt-hour
2023,01,TX,7.09,cents per kilowatt-hour
2023,01,UT,10.65,cents per kilowatt-hour
2023,01,UT,12.41,cents per kilowatt-hour
2023,01,VT,19.96,cents per kilowatt-hour
2023,01,VT,0.0,cents per kilowatt-hour
2023,01,VA,13.96,cents per kilowatt-hour
2023,01,VA,12.21,cents per kilowatt-hour
2023,01,WA,10.49,cents per kilowatt-hour
2023,01,WA,10.06,cents per kilowatt-hour
2023,08,NEW,27.11,cents per kilowatt-hour
2023,08,NEW,13.43,cents per kilowatt-hour
2023,08,MAT,19.74,cents per kilowatt-hour
2023,08,MAT,15.18,cents per kilowatt-hour
2023,08,ENC,15.72,cents per kilowatt-hour
2023,08,ENC,6.79,cents per kilowatt-hour
2023,02,UT,10.79,cents per kilowatt-hour
2023,02,UT,12.41,cents per kilowatt-hour
2023,02,VT,20.28,cents per kilowatt-hour
2023,02,VT,0.0,cents per kilowatt-hour
2023,02,VA,14.32,cents per kilowatt-hour
2023,02,VA,11.32,cents per kilowatt-hour
2023,08,US,13.26,cents per kilowatt-hour
2023,09,AL,14.89,cents per kilowatt-hour
2023,09,AL,0.0,cents per kilowatt-hour
2023,03,DC,16.06,cents per kilowatt-hour
2023,03,DC,10.76,cents per kilowatt-hour
2023,03,FL,14.65,cents per kilowatt-hour
2023,03,FL,11.66,cents per kilowatt-hour
2023,03,GA,13.49,cents per kilowatt-hour
2023,03,GA,6.29,cents per kilowatt-hour
2023,03,HI,44.06,cents per kilowatt-hour
2023,03,HI,0.0,cents per kilowatt-hour
2023,03,ID,10.03,cents per kilowatt-hour
2023,03,ID,0.0,cents per kilowatt-hour
2023,03,IL,17.38,cents per kilowatt-hour
2023,03,IL,6.87,cents per kilowatt-hour
2023,03,IN,16.02,cents per kilowatt-hour
2023,03,IN,13.1,cents per kilowatt-hour
2023,03,IA,11.99,cents per kilowatt-hour
2023,03,IA,0.0,cents per kilowatt-hour
2023,03,KS,13.72,cents per kilowatt-hour
2023,03,KS,0.0,cents per kilowatt-hour
2023,03,KY,12.28,cents per kilowatt-hour
2023,09,WA,10.02,cents per kilowatt-hour
2023,04,AR,12.36,cents per kilowatt-hour
2023,04,AR,15.83,cents per kilowatt-hour
2023,04,CA,29.7,cents per kilowatt-hour
2023,04,CA,11.51,cents per kilowatt-hour
2023,04,CO,13.53,cents per kilowatt-hour
2023,04,CO,12.4,cents per kilowatt-hour
2023,04,CT,34.48,cents per kilowatt-hour
2023,04,CT,17.33,cents per kilowatt-hour
2023,04,DE,15.47,cents per kilowatt-hour
2023,04,DE,0.0,cents per kilowatt-hour
2023,04,DC,15.3,cents per kilowatt-hour
2023,04,DC,9.86,cents per kilowatt-hour
2023,04,FL,15.72,cents per kilowatt-hour
2023,04,FL,12.24,cents per kilowatt-hour
2023,04,GA,13.25,cents per kilowatt-hour
2023,04,GA,5.82,cents per kilowatt-hour
2023,04,HI,43.18,cents per kilowatt-hour
2023,04,HI,0.0,cents per kilowatt-hour
2023,04,ID,10.18,cents per kilowatt-hour
2023,03,KY,0.0,cents per kilowatt-hour
2023,03,LA,11.87,cents per kilowatt-hour
2023,03,LA,11.09,cents per kilowatt-hour
2023,03,ME,29.37,cents per kilowatt-hour
2023,03,ME,0.0,cents per kilowatt-hour
2023,03,MD,15.85,cents per kilowatt-hour
2023,03,MD,10.36,cents per kilowatt-hour
2023,03,MA,32.72,cents per kilowatt-hour
2023,03,MA,7.27,cents per kilowatt-hour
2023,03,MI,18.23,cents per kilowatt-hour
2023,03,MI,13.64,cents per kilowatt-hour
2023,03,MN,13.94,cents per kilowatt-hour
2023,03,MN,12.48,cents per kilowatt-hour
2023,03,MS,13.8,cents per kilowatt-hour
2023,03,MS,0.0,cents per kilowatt-hour
2023,03,MO,11.46,cents per kilowatt-hour
2023,03,MO,8.22,cents per kilowatt-hour
2023,03,MT,12.13,cents per kilowatt-hour
2023,03,MT,0.0,cents per kilowatt-hour
2023,05,NY,20.47,cents per kilowatt-hour
2023,05,NY,15.18,cents per kilowatt-hour
2023,06,NE,11.98,cents per kilowatt-hour
2023,06,NE,0.0,cents per kilowatt-hour
2023,06,NV,17.38,cents per kilowatt-hour
2023,06,NV,13.16,cents per kilowatt-hour
2023,06,NH,29.53,cents per kilowatt-hour
2023,06,NH,0.0,cents per kilowatt-hour
2023,06,NJ,18.19,cents per kilowatt-hour
2023,06,NJ,12.33,cents per kilowatt-hour
2023,06,NM,13.58,cents per kilowatt-hour
2023,06,NM,0.0,cents per kilowatt-hour
2023,06,NY,21.63,cents per kilowatt-hour
2023,06,NY,15.71,cents per kilowatt-hour
2023,06,NC,12.57,cents per kilowatt-hour
2023,06,NC,9.07,cents per kilowatt-hour
2023,06,ND,12.35,cents per kilowatt-hour
2023,06,ND,0.0,cents per kilowatt-hour
2023,06,OH,16.29,cents per kilowatt-hour
2023,06,OH,5.86,cents per kilowatt-hour
